id,name,ISIN,price,quantity
3276609726,BIIACAD1,ID33F7M4PB44,,0
8732795548,LYJUSCR1,GNNLAY2G6K03,,0
5040667239,VGMEFRD1,MFGB67UA22K2,,0
8315423620,NVEEDON1,VEPV40TU8M30,,0
8294288843,CLJIITS1,CYT0U0E4G5X6,,0
6296613766,EFBADGI1310,EUP7FZ2XUO45,,0
8771455087,XZLOPAR1,TVN662QMWXR6,,0
9950578987,EGIAARM1,BO9KL7WXOPD8,,0
1067048859,ZIHOFIT1MOG,EUWY14GA5RP3,996.33,1121
4427951349,BSAUGSI1,KEWV2CKZNNQ9,,0
3913696692,FTWEMNE1LUW,MAJS7QSPTI37,,0
6281464453,QTHOLYG1635,ICYPR7VFZN98,,0
8707927610,AOJINRK1,AQP9MQMCDAH4,,0
3387361069,UXNUGNV1PUA,BGHG1XV7PE53,401.67,5610
2541719699,BEDIPKG1SIK,FIVDV0SR0380,666.24,1140
2919540920,LNDIBQK1,SAB1K2S5AFS2,,0
8167408668,NITAUMO1,LCC28VG50MR0,,0
6047964776,NUZIPTI1913,TAM3PTVUUR64,,0
8720341824,CLIAARJ1306,DEOVV7TAEE34,,0
4064569318,BAQISHW1781,TZWQJ19YDIR0,,0
7555910856,BEWISSR1593,SDHEKCK10TH2,522.51,6889
7241703640,QGZARSN1,UYECCFDPVN47,,0
1224256321,JRBEBSE1,SKVT5ABXTCI6,210.35,5926
3433680877,YPFIPYM1972,NI731Q4VLXF2,,0
6616221813,FLRIKIE1,NE1801LYHZV3,,0
1898740262,BFBADEA1961,LIGI0Q75DM88,389.22,4036
3940561098,JRCECYU1HAM,DDMGYDQM2ML1,,0
3874604263,EFSEGSQ1,FRVTB945IYL2,,0
2670109156,JYEODEJ1,YUYB2LAYEZ89,,0
5145722597,VUDIGDL1PUN,CSMF0H7O24H8,,0
3836541408,TZTIGAF1918,DE1HYSA63AH1,,0
6766347064,STPOUZC1,MKLDASM197T3,,0
3384242201,MULINUV1111,GTYTYNB7ZRV5,,0
8782504098,SFYETFU1028,RSA8AIZ2A510,,0
1069061476,GXDOVIM1,HT36YO7GT5S8,133.81,3210
7433874283,FYXAINV1,SRXFLSS53Y81,869.85,9415
4765189387,JPKEKPX1807,DO73YLXP13O6,811.06,2122
4173446848,VNLOSMP1943,HRA1QZ00NTN0,,0
6453289390,BTVUGYU1,PAGQNAEX0P76,,0
9758776525,RNREPAQ1991,PMLDLFORRWW6,247.41,8431
6366350917,FBOESIA1987,RU606EGVGQM4,,0
3493782469,SYWUCYU1,GIQ7SO9BSOQ0,,0
4464523877,EROEQAJ1610,TWX2MYIU1M92,254.03,6952
2905231091,EBLIGPG1738,CSALERIC2Q91,,0
3544120024,LFCIMGI1TAP,GAK2RG7HMOU2,768.76,9046
3168177616,QYMUDZP1,ICC9W58OB8P5,,0
8300576111,SFOUBAM1,ROAT1ZTW87Z5,,0
4738031444,RAYISJX1,SU3YKY24Q635,,0
9212638096,ZJOECZF1768,MDQFM7LNWXM7,,0
5570946455,KFNOCPG1RIF,ECCMS4LLW2N2,,0
6726438261,DSNEDZM1,GMNPEQB8F879,,0
9396418755,XPVEGRO1,CEAETJ4BQJ80,,0
8827056951,WREINEE1011,CFX3NKFJHZ77,,0
7229256468,YKYUCGJ1,UZM6W7AT5TL9,,0
9960624871,GKMOTWE1,YECQO6Z5W9G9,,0
6939442149,TLEUMZZ1,SLOIOG7VHVI0,,0
7391719436,MXUEGDA1997,AG18H5MP8HP5,,0
3056232263,UVJUJEW1959,GHZGKT1673Q7,,0
8681645368,UQXOMVA1,SL1WM1AR01S1,,0
4643147852,ETBOKMC1MII,CUNROHUP7Q81,,0
5755396026,JRJACZT1,FMMKUXSM5NY4,,0
7332718248,TPTASEG1793,AEPKIPXM69B1,791.63,8970
3598642338,CLAIGSD1,ITIMGJF8X9D8,466.14,9746
1595957579,HYRACHN1,LSCTXZ86SVI5,449.64,4217
3537457084,MGJAFOL1,ETO0U1JVE438,,0
3422204957,OOJITAM1,IR0VJ5RQZ703,,0
4926535264,OZTACGO1,PFEHGKLBIT22,,0
6713106467,MPWINTA1975,DGX59SNEQBY1,,0
4245302643,VUPOKYQ1746,TDR7MCHHV9I6,287.92,9669
6300491029,FCOIVAI1,MWHF91GTQ8P9,688.06,3379
6479692005,MTJOVEP1529,KYDQHR9QK1T6,,0
2861599741,LEPOTDX1,IQVG1EGD9512,306.78,6938
2071769874,XCOIMLC1,CAOU6Q4BTHF5,,0
3542731445,ASDAASC1967,ANND0AR2DT76,,0
3715436657,SVLADKJ1468,PRY1EYQCIPC2,,0
9734234209,RUWOMLC1,FJH0ZWXPT7O7,,0
1369979262,HDWASJS1,MGGQH410O4G9,,0
2753605279,TJTETNX1140,CDHHQIYUBSZ3,,0
2608305229,ZISOIEQ1,KYQO9L4EMQK8,,0
4256604286,GUEADKD1370,LKMGPY1AT0B1,789.52,2231
7243258790,OYUABYR1UIC,CMVGAX8JWV97,,0
2986814107,BSZATRD1105,GYLEQBWLMGC8,440.68,6729
8760303312,HKIUKYH1,ROIWJGDKI3Z5,200.13,6002
5140373802,OMDASDA1,DDTREID9OXT6,,0
6780124218,SJZUATI1,IRUFOTVSA608,308.66,1736
